"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL181W",4265.43381834565,2.16481535810009,0.0866549113114415,24.9820272773652,9.58649603221256e-138,2.73887492974616e-136
"YDL174C",6029.81164196917,1.72079539578446,0.0718338726222604,23.9552084966001,8.15464369517506e-127,2.09302521509493e-125
"YDL170W",7333.07291240429,-1.69712929547192,0.050748272089746,-33.4421099593426,3.35177185096867e-245,1.95954513583483e-243
"YDL130W-A",7004.58258092408,1.78557944748787,0.0706011943720947,25.2910657300952,4.00560791049763e-141,1.19299095975859e-139
"YDL085C-A",1500.60744295904,-1.03579426529011,0.0903843654569147,-11.4598831341451,2.09797692904598e-30,1.57323353087843e-29
"YDL085W",2464.61544738092,1.64861103192795,0.0664616331843949,24.8054547102981,7.82878543052841e-136,2.22661942379984e-134
"YDL079C",4382.02586496991,1.30604456431478,0.0655366779443788,19.9284523610309,2.30582671612413e-88,4.21999706829211e-87
"YDL066W",12978.4094827022,-1.43389975535179,0.0613453791165084,-23.3742096960311,7.82020025343533e-121,1.92877907813245e-119
"YDL059C",2379.85022741111,-3.18033410403965,0.0843571682861605,-37.7008162869001,4.81633926207179e-311,4.05471548009617e-309
"YDL054C",3339.2094446693,-1.22394000483455,0.0510058238523144,-23.9960834350686,3.05532361861135e-127,7.87400543996411e-126
"YDL049C",3084.09783350503,3.18528872443306,0.0680373274820701,46.816781938892,0,0
"YDL048C",5699.90703424631,2.04728840635684,0.0579570475115961,35.3242356927726,2.49367192639082e-273,1.71141788513387e-271
"YDL004W",7801.91603652453,1.95847569634198,0.0616775124955551,31.7534805976996,2.8427090346811e-221,1.45925730446963e-219
"YDR019C",13155.5628993914,-2.43317822042278,0.0592791316712832,-41.0461177791086,0,0
"YDR034W-B",308.091420437234,1.50921387578781,0.113290966403795,13.3215729699809,1.73414889754364e-40,1.66911831388575e-39
"YDR046C",11208.9652828017,-1.01352780565455,0.0515398598773916,-19.6649313379127,4.30750157867444e-86,7.59708518652246e-85
"YDR059C",2365.21215626384,1.05176004766274,0.055397313935611,18.9857589284061,2.23680971776918e-80,3.73630067671815e-79
"YDR070C",10923.0271605332,1.99317148551864,0.0622229605621844,32.0327330540099,3.81954239586881e-225,1.99310666838972e-223
"YDR077W",187538.75786836,1.23446699698386,0.048065783427613,25.6828643777952,1.81657243609167e-145,5.62246978504059e-144
"YDR098C-B",62.0314414740803,-1.52960521248585,0.231428923593927,-6.6093951816055,3.8589333462328e-11,1.25853848905547e-10
"YDR119W-A",3444.07483279259,3.98610298387998,0.0749596013179103,53.1766833574069,0,0
"YDR126W",1894.09042174274,-1.24400956540239,0.0555206364450908,-22.4062554944358,3.42016602925944e-111,7.82424938722613e-110
"YDR148C",9571.19331304223,1.55070954300018,0.0549898121635281,28.1999425346044,5.85705516315247e-175,2.24129977576635e-173
"YDR150W",5415.62898095437,1.20452532804736,0.0674032618832353,17.8704308128885,2.00440427816002e-71,3.07927216844341e-70
"YDR155C",98725.0240891386,1.01040595412848,0.0474735776640017,21.2835434750614,1.61280814106152e-100,3.28492600085884e-99
"YDR158W",21079.4916924971,-1.18776807753894,0.0431989209756334,-27.49531818651,1.99718529102382e-166,7.08439771209237e-165
"YDR170W-A",991.028215491424,-1.67874833738702,0.0721290965350107,-23.2742182840481,8.08990970621954e-120,1.97983294128179e-118
"YDR171W",9934.05423292981,1.08907766208529,0.0887666896240892,12.2689903915234,1.32900138908343e-34,1.11143241995666e-33
"YDR178W",7520.44194538898,1.96179904219013,0.06655413912028,29.476739810948,5.72084991119144e-191,2.58010330994734e-189
"YDR210C-D",135.561347920473,-1.73355977195389,0.162648688806717,-10.6583076978503,1.5947274915115e-26,1.03912377517065e-25
"YDR216W",3240.89163918343,1.43255269857055,0.0655775479206844,21.8451702449016,8.64025843344048e-106,1.86193145900147e-104
"YDR218C",1316.7248160004,1.21476358364552,0.0722362544377059,16.8165361438153,1.84643634307124e-63,2.58501088029973e-62
"YDR247W",2194.09609254431,1.6202998966835,0.0660760251036002,24.5217519386653,8.65944148407204e-133,2.34659714722879e-131
"YDR253C",2715.05034853146,-2.98975764530153,0.0962394828518803,-31.0658116264298,6.97812977134054e-212,3.44218057626908e-210
"YDR261C",2834.01939193054,-1.15857822694756,0.054850813502173,-21.12235266851,4.95640620422305e-99,9.99832229184163e-98
"YDR261W-B",185.469109510609,-1.04612611187943,0.14332615906908,-7.29891960179595,2.9008758404783e-13,1.06489128237093e-12
"YDR261C-D",112.519847822208,-2.1941897068792,0.191340386199615,-11.4674677440554,1.92201495586807e-30,1.44299672192045e-29
"YNCD0020W",21.8570934163535,-1.45784095881271,0.388824105818212,-3.74935848111818,0.000177287508543582,0.000338083155827295
"YDR277C",8555.50226484286,1.87949756838401,0.0547419376829102,34.3337785971498,2.459627878835e-258,1.6010402502025e-256
"YDR298C",8898.57735085367,1.64089521155133,0.0583058465856148,28.1428931683872,2.92777689213298e-174,1.11361345162215e-172
"YDR309C",3371.04332066947,-1.14735670437305,0.0563531847915224,-20.3601040228281,3.77780828165019e-92,7.25017674478399e-91
"YNCD0023C",26.4536491896596,-2.71843634349987,0.426641254913983,-6.37171467172799,1.86926410218539e-10,5.85152877600325e-10
"YDR322C-A",3050.31663577418,1.7732944868377,0.0791750614379477,22.3971343328543,4.19722726642789e-111,9.56725377625476e-110
"YDR342C",2750.07896579912,4.38891610708892,0.261044552856699,16.8129005530264,1.96325464096482e-63,2.74247562014422e-62
"YDR343C",8653.79097248271,4.17503248354986,0.085906107082254,48.5999497049997,0,0
"YDR344C",89.5492761107373,-1.29921066637258,0.184448153743052,-7.04377159655641,1.87104759188434e-12,6.58516972974231e-12
"YDR345C",47662.6620286044,-5.28191400558353,0.0586179823169623,-90.1074004393888,0,0
"YDR354W",11672.0766824293,-1.70945428959071,0.0601431096250455,-28.4231111468643,1.04781796798781e-177,4.10926872663044e-176
"YDR365W-B",50.8564394699852,-1.78263581142022,0.270405426724712,-6.59245575435526,4.32610136029342e-11,1.4052165214334e-10
"YDR377W",7866.68665151607,1.79099843536046,0.061139066910222,29.2938464041396,1.24227966612974e-188,5.40948538754703e-187
"YDR399W",12817.1789117339,1.2179751455824,0.0584789157265706,20.8275945347084,2.43381411882041e-96,4.81727346276868e-95
"YDR461C-A",2064.54524450282,1.3355576675023,0.070567414087711,18.9259828317116,6.96776638775725e-80,1.16080414174932e-78
"YDR502C",20409.0804223782,-3.12903892043066,0.0969476427129779,-32.2755544422514,1.54131321730104e-228,8.24733191020234e-227
"YDR513W",3639.6182027805,1.00097933438774,0.0625518689521619,16.0023889158814,1.2296477519786e-57,1.60082389814287e-56
"YDR516C",10229.035383231,1.64546072322125,0.0608108403213693,27.0586743173655,3.01956238287543e-161,1.03616939594975e-159
"YDR529C",8772.13416567174,2.46265204231739,0.0726730536415497,33.8867285591726,1.04497019205995e-251,6.34417480064092e-250
"YDR536W",2188.78083902692,1.97806665288596,0.0623012094165545,31.7500522286868,3.16996965729186e-221,1.61412809807587e-219
"YDR541C",4695.16996312854,-1.2711274552972,0.0521890053919658,-24.3562306993665,4.97986378781449e-131,1.31125458370524e-129
"YEL073C",1828.97941746436,-2.06325178459049,0.0842130440314877,-24.5003824326672,1.46334291106205e-132,3.94852441899393e-131
"YEL072W",2552.54056990942,-2.70933656756775,0.0922921976105522,-29.3560738362782,1.99890427869677e-189,8.88808564485308e-188
"YEL071W",105556.949399427,-1.62389052704024,0.045624610141486,-35.5924252723346,1.83490068140628e-277,1.316541238909e-275
"YEL070W",17520.7172249397,6.56350681353466,0.108876431506525,60.2840001524234,0,0
"YEL069C",1576.77061020829,4.26629180182625,0.121433216695192,35.1328237687636,2.12673171941629e-270,1.44389076090263e-268
"YEL065W",10219.7648063127,-1.85267515854857,0.0831947862266422,-22.2691257779238,7.3623544689816e-110,1.65430270879537e-108
"YEL049W",1988.9892491637,1.60714361891876,0.193604994741217,8.3011475043139,1.03110578682462e-16,4.53055110508744e-16
"YEL040W",4495.32249419527,-1.06283278083754,0.0682277351856767,-15.5777233106905,1.03164097329193e-54,1.29498630325353e-53
"YEL039C",2582.89358596624,1.72049558672163,0.0827101460434791,20.8015058493211,4.19432130932051e-96,8.27592023345303e-95
"YEL034W",8090.10223360789,1.48079063979945,0.0996977121185579,14.8528046264344,6.67179697188129e-50,7.74369964714311e-49
"YEL033W",1103.19523217985,1.51928944979516,0.105229808396216,14.4378239678501,2.99138068876668e-47,3.31361011734611e-46
"YEL029C",2913.907534649,-1.14932445538648,0.0518784318851116,-22.1541865014683,9.50616319745297e-109,2.09135590343965e-107
"YEL026W",5839.73230331891,1.03019327564544,0.0774742056233632,13.297242189919,2.40164284395733e-40,2.30455515452075e-39
"YEL024W",3152.72409096367,2.33246869927094,0.0638162704326002,36.5497495146537,1.79955516636062e-292,1.38565747809768e-290
"YNCE0007C",176.321482778897,2.14665916210223,0.175458401824733,12.2345760577857,2.0316280584987e-34,1.69230864925604e-33
"YEL017C-A",2539.83551606282,-1.50512216283946,0.0637522094826216,-23.6089411653998,3.11962244113639e-123,7.78549252700995e-122
"YEL011W",13615.581086574,1.35498336686357,0.0670702733486473,20.2024428888196,9.31721646847746e-91,1.73536592277188e-89
"YER024W",11364.2109872792,-1.15925573073573,0.0648245321202378,-17.8829787554119,1.60052779074793e-71,2.46481279775181e-70
"YER028C",918.204394439338,-1.63583946161742,0.0719611860683173,-22.7322470764228,2.15043534030047e-114,5.06636146964819e-113
"YER037W",3797.33333408708,-1.08362386143314,0.0521953868165367,-20.7609125542456,9.76938700036441e-96,1.92161711901249e-94
"YER042W",2384.88385197374,-1.01552942277025,0.0668093806062674,-15.2004017033946,3.51459215530368e-52,4.2430468199976e-51
"YER052C",22974.2999789205,-1.90911779162183,0.0504346893602379,-37.8532675790991,1.51285040169531e-313,1.30851197757606e-311
"YER053C-A",245.11029478322,2.89567754220139,0.202410385785198,14.3059731395124,2.00809036226595e-46,2.19361289746491e-45
"YER054C",3051.29023321533,2.17501666954156,0.0720259573760188,30.1976780147005,2.54082758898965e-200,1.18835447384301e-198
"YER055C",17075.929013423,-1.66003633200093,0.046769915216949,-35.4936784533521,6.15301633703054e-276,4.36518484854054e-274
"YER060W-A",1221.8365596522,-2.04892248056505,0.0843801101732864,-24.2820550525153,3.03358614676867e-130,7.91490203747826e-129
"YER067W",5928.78711867795,2.02292981919707,0.190671118042703,10.6095240850479,2.69116314136436e-26,1.74635190900047e-25
"YER069W",21584.5311716595,-2.08396974220006,0.0474227280529889,-43.9445351999044,0,0
"YER073W",14858.4546933521,-1.10041674160354,0.0613205073598532,-17.9453300206056,5.21995689916177e-72,8.05838823014851e-71
"YNCE0016C",82.6472444785093,3.64625219938748,0.285384862869558,12.7766138775695,2.21504951950288e-37,1.95879869273686e-36
"YER084W",741.370324137877,1.08031213834735,0.0766329308796304,14.0972311243612,3.94964862805471e-45,4.2054100231935e-44
"YER085C",463.389772063739,1.60974149541324,0.110038690756738,14.6288681221398,1.83819765052626e-48,2.06887343412171e-47
"YER091C",106861.998563784,-3.54492728714684,0.0638948244981305,-55.4806639659924,0,0
"YER092W",2932.97071850391,-1.54583579437089,0.069191271018595,-22.3414857338789,1.46102417546798e-110,3.3064181519372e-109
"YER121W",430.67586675703,1.53565387008736,0.102392303483447,14.9977470751561,7.59539628679095e-51,8.98077381175993e-50
"YER124C",13933.5844564559,-1.04385368746381,0.0494448717655648,-21.1114651568534,6.24077772599162e-99,1.2549130752201e-97
"YER138W-A",93.3054419549479,-2.04153909337029,0.235365213207258,-8.67392026863608,4.17492691409622e-18,1.97161469974597e-17
"YER145C",37120.13317459,-1.39710469857058,0.167022816765468,-8.3647535446153,6.02407122787619e-17,2.6785905445641e-16
"YER150W",8579.66206999595,1.53655229511479,0.0621513884044086,24.722734834445,6.0923546245727e-135,1.69458709689656e-133
"YER175C",7150.81147699438,-2.07735749306688,0.0467946425970196,-44.3930624912859,0,0
"YER182W",2232.4807850434,1.1754687443472,0.0575040540825355,20.4414934407939,7.15169505246129e-93,1.38091139331011e-91
"YFL052W",773.253738906992,1.48899595755975,0.0814373279843972,18.2839490736365,1.11083927850143e-74,1.76721184944444e-73
"YFL051C",266.965902688758,1.68168765200329,0.12099232041328,13.8991272029419,6.41184564411962e-44,6.61509696028943e-43
"YFL036W",4156.1410035077,1.01660741931924,0.0470998410188658,21.5840944964557,2.53403735604541e-103,5.33330395535691e-102
"YFL028C",4390.56688364037,-1.21530284747712,0.0528158394766002,-23.0101965531677,3.68501473956823e-117,8.78006908137125e-116
"YFL019C",440.614806827606,-1.0599955792225,0.0976072430273884,-10.8598045221405,1.79132243971124e-27,1.2214265533841e-26
"YFL014W",42001.3289440569,1.54526092965759,0.0822662359618533,18.7836590745944,1.02749113512974e-78,1.68947370500239e-77
"YFL011W",1062.34308209808,2.27934350890214,0.0782632722898276,29.1240506844792,1.78092339899665e-186,7.54681230957372e-185
"YFR014C",6252.94263943333,1.01748400334398,0.0447931631452785,22.7151630270887,3.17285602248556e-114,7.44736539999027e-113
"YFR017C",2551.68856065553,1.54442630891701,0.0704238876105558,21.9304324330643,1.33156018648778e-106,2.87927089639857e-105
"YFR025C",3311.8200903807,-1.09363307350871,0.0524394446815621,-20.8551612273887,1.36836294486985e-96,2.71693196034851e-95
"YNCF0011C",17.5632569857881,-3.60264043385947,0.599521076597153,-6.00919729846338,1.86444119983607e-09,5.53199329688201e-09
"YFR030W",32027.3173856154,-3.79292195681123,0.0732900679896352,-51.752195909378,0,0
"YFR033C",9240.24419696165,1.83596423214878,0.0622489170730264,29.4939144081004,3.44573632210757e-191,1.56520713221491e-189
"YFR035C",60.0374791793979,-1.06571270297716,0.221076171167911,-4.82056793976104,1.43150093330644e-06,3.36003601966426e-06
"YFR049W",2804.44454209045,1.44084336734757,0.0723326076031885,19.9196934147864,2.74667361893509e-88,5.01228243640352e-87
"YFR053C",215217.517761612,4.7384368309586,0.0723808659966279,65.4653238216209,0,0
"YFR054C",138.152412393673,-1.00477872752537,0.15867502155145,-6.33230559984248,2.41524501043385e-10,7.51594726263151e-10
"YGL261C",68.5288584341092,-1.37831833501724,0.219040991745375,-6.29251321423648,3.12366727143372e-10,9.66331952564063e-10
"YGL258W",49533.5744645155,-4.95628145728294,0.26994314912403,-18.3604639471909,2.72271093971182e-75,4.3743503494505e-74
"YGL256W",72712.5427298755,1.02250526640284,0.0521948772107459,19.5901460266742,1.8765129694841e-85,3.29119524703405e-84
"YGL248W",4711.42721985046,-1.09754178934105,0.0503998993468329,-21.7766662942755,3.86170661326452e-105,8.23743768788924e-104
"YGL224C",2597.12209762677,-1.6689060007408,0.0580099826448998,-28.7692897782228,5.19743549213672e-182,2.13094855177606e-180
"YGL223C",2439.86062588679,-1.17476992742749,0.0529112985626485,-22.2026289155713,3.23940383599294e-109,7.17670028788051e-108
"YGL209W",2799.99659504652,-1.98022447300252,0.0891788842861213,-22.2050823897861,3.06731525872856e-109,6.81937624775074e-108
"YGL202W",13982.9249510904,-1.02336788782078,0.0476122431377017,-21.4937969811892,1.77947153081923e-102,3.68379778544021e-101
"YGL191W",6600.06778922135,2.13105639767312,0.0635183488443923,33.5502486516738,8.92810005241788e-247,5.26841343280061e-245
"YGL187C",5554.31940818065,3.23582864736923,0.0803598517899917,40.2667323954949,0,0
"YGL186C",6664.49293102217,-1.47323889346883,0.0532442235344479,-27.6694596272152,1.6280370837405e-168,5.97641055042879e-167
"YGL184C",3870.9764441771,-2.97801159595548,0.0700397752035634,-42.5188628504332,0,0
"YGL162W",3731.32999786271,1.84214840653182,0.0526460705063059,34.9911852644571,3.0635648050913e-268,2.03614191361541e-266
"YNCG0008W",21.7395181123787,1.66418713049489,0.395967828850813,4.20283419318366,2.63593670966432e-05,5.47477117921728e-05
"YGL158W",743.288816103966,1.37790684457384,0.125087371129246,11.0155552245968,3.21547965959242e-28,2.25834689328883e-27
"YGL157W",2202.94564311574,-2.13346965812741,0.0664656547310713,-32.09882858688,4.57796047430066e-226,2.40877020289453e-224
"YGL138C",561.144729781907,1.61510738813393,0.148794840707236,10.8545926757754,1.8965044111704e-27,1.28758374754085e-26
"YGL125W",5960.51569606542,-2.03014461017965,0.0658954839044417,-30.8085545456144,2.01284310745114e-208,9.77622413880499e-207
"YGL118C",240.497112823969,-1.4277223168728,0.126032763229416,-11.3281838808369,9.5157315279461e-30,6.9782031204938e-29
"YGL117W",17722.7414068394,-1.62876845101872,0.0532912111829531,-30.5635472503528,3.73619140632121e-205,1.78714488935698e-203
"YNCG0010W",316.973373133784,1.17741437485065,0.114761882489278,10.2596293238799,1.07117125022918e-24,6.56638376111365e-24
"YGL089C",651.105836228488,-1.85886406497485,0.0969661971809727,-19.1702275536862,6.56211380069952e-82,1.10783921223574e-80
"YGL037C",18174.555359578,1.40002275553098,0.066507339472526,21.0506504490279,2.25563167257451e-98,4.5212883748049e-97
"YGL034C",64.7922757576156,-1.19495018091031,0.23332937808856,-5.12130187248332,3.03433441525748e-07,7.57863429506952e-07
"YGL033W",227.291779308324,2.40026129084413,0.137366633312548,17.4733938873122,2.28489429487942e-68,3.39454648891027e-67
"YGL028C",12372.1231642938,-1.1755289144218,0.0603975358467747,-19.4631932899391,2.25299890108025e-84,3.87614034371137e-83
"YGL026C",19047.8519644931,-1.14290021486807,0.0457204968743863,-24.9975458055082,6.50084206763354e-138,1.86574167341083e-136
"YGL009C",50945.0103220925,-1.47984011697465,0.0470616094291988,-31.4447409453979,4.95336282503031e-217,2.50204263017931e-215
"YGR008C",7816.44545231303,1.55556294326276,0.0723434337299375,21.5024759409371,1.47599595740109e-102,3.06560476152318e-101
"YGR030C",1511.03471766229,1.11925835558037,0.0672519564800456,16.6427627412217,3.4149225139617e-62,4.68735233764221e-61
"YGR043C",5851.43495269515,1.50596337429693,0.0646622222420184,23.2896940760927,5.63867199560733e-120,1.38531420156672e-118
"YGR055W",15324.8022246287,-2.11623010880472,0.06046288353346,-35.0004826950339,2.21210074989261e-268,1.48587278030021e-266
"YGR059W",1551.566641887,1.11727208196427,0.0843283264517826,13.2490721561171,4.56816005633709e-40,4.32434221824774e-39
"YGR067C",582.415224515256,1.07647997007737,0.0893942385594029,12.0419390267757,2.13868757119767e-33,1.73346255770759e-32
