"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
121.58355908429,-0.0378105760122599,0.174574170990248,-0.216587458487041,0.828529860427807,0.861834849874987
5.94061001075503,0.433356186152461,0.686283535957288,0.631453566124062,0.527744001052377,0.592281482873215
2109.90392461918,-1.55168276468999,0.104228547411895,-14.8873106573959,3.98478193607255e-50,4.63350149988252e-49
51.2650747649214,-0.333725508263714,0.237194430117989,-1.40697025683827,0.159436208620488,0.206413824324331
60.499241510369,-0.346352059300311,0.223215643867855,-1.55164778462102,0.120746522845566,0.159864446476599
140.129142922315,-0.0177278226749172,0.156404564070212,-0.113345942174417,0.909756295308993,0.927681080197187
9.70187464599395,0.261027019527338,0.549826057536281,0.474744723262073,0.634968936573496,0.693515693532854
93.846603711492,0.413714751936172,0.192782784724737,2.14601502165709,0.0318717802475648,0.0467452776964283
458.039463108591,0.397585944460237,0.0888062843135164,4.47700236006523,7.56984130296582e-06,1.65269633426439e-05
11958.8603480201,1.28964476452215,0.0446631638076018,28.874908416198,2.46685444756416e-183,1.02471835407369e-181
2593.09093007385,-0.115664440152357,0.0678145453757845,-1.70559928569039,0.088082712473352,0.119964246453137
6963.17310136998,0.636819415279478,0.0639468057786757,9.95858053463302,2.31342041650056e-23,1.33396680454653e-22
1421.51144329576,0.286319125237688,0.0618380827010743,4.63014234483557,3.65414442835168e-06,8.22247609430239e-06
1515.14522560794,-0.406139350455606,0.0575152325290709,-7.06142238493645,1.6480679084619e-12,5.81335238772537e-12
5913.52437950713,0.100236209242251,0.0443052806135916,2.26239869952434,0.0236727812126169,0.0353356833514097
1289.09234466791,0.474010057764003,0.0717762494137646,6.60399591279148,4.00220564207876e-11,1.30324530294406e-10
2844.27246909058,1.58482706624513,0.0727173011811723,21.7943603585699,2.62433133233779e-105,5.61695865504434e-104
6781.26801784142,0.508990575329216,0.069603935395868,7.31266949827425,2.61886607764998e-13,9.66989497911226e-13
2292.94486175447,-0.0340304353977762,0.0513766252914358,-0.662371948424742,0.507732876807131,0.572692147460068
1272.22574562355,0.452315064707273,0.0649589882278658,6.96308666509127,3.32896882343783e-12,1.15236344030628e-11
1453.73243463404,-0.238906403804643,0.0620551490179004,-3.84990460236793,0.0001181638390969,0.000229777172792679
1218.60629299215,0.00146897463872269,0.0617837984839476,0.0237760493004384,0.981031244537684,0.987154464453549
1336.2182201845,0.453995592646747,0.094204265722038,4.81926788736213,1.44085976997008e-06,3.37949056002641e-06
2470.52086208692,0.772631831605418,0.0654572640833281,11.8036071691271,3.73931462139909e-32,2.94389432911644e-31
14312.1001759638,-1.33724100859224,0.0541853876418068,-24.6789968068898,1.79783228517989e-134,4.9569925976532e-133
3399.79312981616,-0.319481590664685,0.0536087504010609,-5.95950452630515,2.53003855537188e-09,7.4266217752757e-09
9056.22794626946,-0.293272524509044,0.0400833429709499,-7.31656849882983,2.54392195394018e-13,9.39866776897501e-13
3834.22847091699,-0.246089213014527,0.0446629398924625,-5.50991971435491,3.58997403766669e-08,9.71585772560114e-08
1859.64342664173,-0.324417928024358,0.0905926192604318,-3.58106356425941,0.000342198381514613,0.000636981303326435
7435.77445472862,1.87820850940824,0.0677385766901472,27.7273099197171,3.27237920781673e-169,1.21540013636205e-167
211872.932797115,-0.0683155567144459,0.0535871778429712,-1.27484893708405,0.202362715633174,0.256158417503581
103.332495408283,0.127472973380442,0.175032049643771,0.728283612286309,0.466439991897112,0.532298795629581
736.446910846747,-0.462954594620685,0.0743126536122216,-6.22982186905174,4.66965822482269e-10,1.42919156720943e-09
2846.53119824106,0.120440774009735,0.0681652191102849,1.76689484141279,0.0772458411140579,0.10618990655218
12933.0465315465,0.474604195570416,0.0466654266255583,10.1703601550378,2.68912497226356e-24,1.62014647660993e-23
803.313188912405,0.231450533967919,0.0733170139392544,3.1568461606972,0.00159485463078567,0.00277331647997266
2554.25931915175,0.436561775694333,0.0649034601383023,6.72632514143417,1.74001520774509e-11,5.78539021679962e-11
797.145470661157,0.170217878324077,0.0804924452335768,2.11470626628537,0.0344549899655259,0.0502654359155108
2210.27744834195,0.442475974056512,0.0549041083005119,8.05906857888787,7.68779621918511e-16,3.23820849419178e-15
3016.3170306616,-0.266293535728295,0.0485504501665437,-5.48488293753862,4.13743305947274e-08,1.11592278246522e-07
2894.87022180423,0.00572469060331457,0.0559726328902592,0.102276600326065,0.91853712813019,0.935728207004521
3133.83137133547,-0.133253754020272,0.0544156112484735,-2.44881479713252,0.0143327123750917,0.0219972644473333
1532.59093144739,-0.0524147311019701,0.0598229720147781,-0.876163943994994,0.380940914674528,0.447157638084211
824.265146721103,0.348153430739152,0.0738989966997257,4.71120646135166,2.46254601091346e-06,5.66224162888113e-06
3462.88216006146,-0.180232639297003,0.0498430806888635,-3.61600119426954,0.000299188994654015,0.000558733898919092
40.3646020064168,-1.51815622114488,0.292295965042884,-5.19390071266344,2.05932996475637e-07,5.23243838932463e-07
3552.90284710942,0.390840056597647,0.0676594027453027,5.77658153544345,7.62335684716911e-09,2.16819257355972e-08
1132.68270348996,0.218326223450045,0.0787710342815402,2.7716561733811,0.00557719115130183,0.00904556509872072
9877.50380189963,-0.157976546391685,0.0622107841328096,-2.53937558566103,0.0111050534986563,0.0173129155038311
2440.70443891006,-0.847440471708493,0.0535570030399797,-15.8231496089482,2.15440182541994e-56,2.77044666511232e-55
4645.5579331446,0.0875505116048708,0.0458456558485086,1.90967955380922,0.0561744851024058,0.0790121851050547
1722.57816715739,-0.0316182220238369,0.0603602140609529,-0.523825544950988,0.600399884345242,0.661246270670828
