"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098655","monoatomic cation transmembrane transport","46/299","178/6447",0.258426966292135,5.57216940363008,13.6410246794632,7.21230183137485e-23,5.82885120735658e-21,5.01065179863937e-21,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",46
"GO:0042773","ATP synthesis coupled electron transport","23/299","36/6447",0.638888888888889,13.775641025641,16.9505922759766,1.23448411489695e-22,8.4419721395645e-21,7.25696734749136e-21,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YPR191W/Q0105/Q0120",23
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","23/299","36/6447",0.638888888888889,13.775641025641,16.9505922759766,1.23448411489695e-22,8.4419721395645e-21,7.25696734749136e-21,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YPR191W/Q0105/Q0120",23
"GO:0098660","inorganic ion transmembrane transport","48/299","198/6447",0.242424242424242,5.22712070538158,13.3225021013342,1.5619613501505e-22,9.91845457345566e-21,8.52619503916738e-21,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR077C/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR002C/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",48
"GO:0034220","monoatomic ion transmembrane transport","46/299","188/6447",0.24468085106383,5.27577741407529,13.1206500739508,8.65526168426733e-22,5.12968509154244e-20,4.40962805808988e-20,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",46
"GO:0006812","monoatomic cation transport","47/299","214/6447",0.219626168224299,4.73555152689651,12.2553824828118,3.90026198001941e-20,2.16708306264829e-18,1.86288828782506e-18,"YBL099W/YBL045C/YBL030C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",47
"GO:0006811","monoatomic ion transport","48/299","234/6447",0.205128205128205,4.42294828916902,11.7617354135232,3.14387945870611e-19,1.64406402281749e-17,1.41328575047717e-17,"YBL099W/YBL045C/YBL030C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR002C/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120",48
"GO:0006754","ATP biosynthetic process","15/299","20/6447",0.75,16.1714046822742,14.9847829290587,8.81841808379439e-17,4.12609140868064e-15,3.54690943425747e-15,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",15
"GO:0015986","proton motive force-driven ATP synthesis","15/299","20/6447",0.75,16.1714046822742,14.9847829290587,8.81841808379439e-17,4.12609140868064e-15,3.54690943425747e-15,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",15
"GO:0009145","purine nucleoside triphosphate biosynthetic process","16/299","24/6447",0.666666666666667,14.3745819397993,14.4754039174242,1.62675120725559e-16,6.88658011071534e-15,5.9199066489602e-15,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",16
