"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006754","ATP biosynthetic process","15/594","20/6447",0.75,8.14015151515152,10.1874944833029,2.48420227162068e-12,6.75356385005715e-11,5.74072691410018e-11,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",15
"GO:0015986","proton motive force-driven ATP synthesis","15/594","20/6447",0.75,8.14015151515152,10.1874944833029,2.48420227162068e-12,6.75356385005715e-11,5.74072691410018e-11,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",15
"GO:0009067","aspartate family amino acid biosynthetic process","23/594","49/6447",0.469387755102041,5.09451659451659,9.16489869369334,5.92336766674277e-12,1.57373109145961e-10,1.33771748263282e-10,"YDL182W/YDR158W/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YIR034C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR303W/YNL277W/YNL097C-B/YOL064C/YPR145W/YPR167C",23
"GO:0009066","aspartate family amino acid metabolic process","26/594","63/6447",0.412698412698413,4.47923681257015,8.84009508538323,9.50437045285823e-12,2.46902423542028e-10,2.09874285555513e-10,"YDL182W/YDR148C/YDR158W/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YIR034C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YNL097C-B/YOL064C/YPR145W/YPR167C",26
"GO:0009201","ribonucleoside triphosphate biosynthetic process","17/594","28/6447",0.607142857142857,6.58964646464646,9.44232140594518,1.63407028989117e-11,4.15266993235387e-10,3.52989096946743e-10,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YHR216W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",17
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","12/594","15/6447",0.8,8.68282828282828,9.48948949047794,1.18440772247741e-10,2.9458992076087e-09,2.50410053755582e-09,"YDR529C/YEL039C/YEL024W/YFR033C/YGR183C/YHR001W-A/YJL166W/YJR048W/YOR065W/YPR191W/Q0105/Q0120",12
"GO:0009142","nucleoside triphosphate biosynthetic process","17/594","32/6447",0.53125,5.76594065656566,8.60943001831088,3.02294825644893e-10,7.36213856622666e-09,6.25803323264866e-09,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YHR216W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",17
"GO:0006163","purine nucleotide metabolic process","37/594","140/6447",0.264285714285714,2.86843434343434,7.11999280488315,1.80248808305399e-09,4.30022156957166e-08,3.65531417916856e-08,"YBL099W/YBR039W/YBR117C/YBR145W/YCL040W/YDL085W/YDL066W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL248W/YGR043C/YGR204W/YGR256W/YHR216W/YIL155C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR120C/YMR145C/YOL077W-A/YOR222W/YPL271W/YPL188W/YPL134C/YPL078C/YPL061W/YPR020W",37
"GO:0009070","serine family amino acid biosynthetic process","14/594","24/6447",0.583333333333333,6.33122895622896,8.33514395975264,2.25098497280637e-09,5.23947704566506e-08,4.45370882095162e-08,"YAL012W/YDR158W/YER052C/YGR155W/YIL074C/YIL046W/YIR017C/YJR139C/YKL001C/YLR058C/YLR303W/YNL135C/YOR184W/YPR167C",14
"GO:0006526","L-arginine biosynthetic process","10/594","12/6447",0.833333333333333,9.04461279461279,8.88526947582329,2.28582830905833e-09,5.23947704566506e-08,4.45370882095162e-08,"YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W",10
"GO:0009092","homoserine metabolic process","11/594","15/6447",0.733333333333333,7.95925925925926,8.59576905419794,3.60273082994469e-09,8.09921603885644e-08,6.8845706547931e-08,"YAL012W/YDR158W/YER052C/YGL184C/YGR155W/YHR112C/YJR130C/YJR139C/YLR303W/YNL277W/YNL135C",11
"GO:0034308","primary alcohol metabolic process","16/594","33/6447",0.484848484848485,5.26232017141108,7.81965643950134,5.83373184233366e-09,1.28672311767699e-07,1.09375230569275e-07,"YBR145W/YBR240C/YCR020C/YDL085W/YDR216W/YER073W/YGR087C/YGR144W/YLR134W/YMR145C/YOL055C/YOR143C/YPL258C/YPL214C/YPL061W/YPR121W",16
"GO:0009152","purine ribonucleotide biosynthetic process","19/594","46/6447",0.41304347826087,4.48298199385156,7.55188455874718,6.13646334649529e-09,1.30427739128236e-07,1.10867395197924e-07,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YHR216W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YMR120C/YOL077W-A/YPL271W/YPL078C/YPR020W",19
