"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process",0.00790541634257566,4,10,"YDR354W/YGL202W/YGL026C/YKL211C"
"carboxylic acid transmembrane transport",0.00790541634257566,8,44,"YBR104W/YGR055W/YHL036W/YHR162W/YKL120W/YLL055W/YOR130C/YOR222W"
"nucleobase metabolic process",0.00926538233164685,7,35,"YER037W/YGL224C/YGR204W/YKL216W/YLR420W/YOR184W/YOR303W"
"monoatomic ion transport",0.0102759749602627,22,234,"YBR085W/YBR294W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL220C/YKL175W/YLR034C/YLR092W/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"L-alpha-amino acid transmembrane transport",0.0105579346631764,5,18,"YBR104W/YGR055W/YHL036W/YOR130C/YOR222W"
"organic anion transport",0.011028004152736,14,120,"YAL067C/YBR085W/YBR104W/YGR055W/YHL036W/YHR162W/YIL121W/YKL120W/YLL055W/YOL158C/YOL119C/YOR049C/YOR130C/YOR222W"
"L-serine metabolic process",0.011028004152736,4,11,"YGR155W/YIL074C/YLR058C/YOR184W"
"vitamin transport",0.011028004152736,4,11,"YGL186C/YLR237W/YOL119C/YOR192C"
"tetrahydrofolate metabolic process",0.0157712561245175,4,12,"YGL125W/YGR204W/YGR267C/YLR058C"
"nucleobase biosynthetic process",0.0167334022294247,5,20,"YGR204W/YKL216W/YLR420W/YOR184W/YOR303W"
"monoatomic cation transport",0.0172180574468066,20,214,"YBR085W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL220C/YKL175W/YLR034C/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"lysine biosynthetic process via aminoadipic acid",0.0210225070472707,4,13,"YDL182W/YGL202W/YIR034C/YNL097C-B"
