"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"vitamin metabolic process",8.72370991633821e-08,16,58,"YBR092C/YBR240C/YBR256C/YCR020C/YEL029C/YGR144W/YGR267C/YMR020W/YMR095C/YMR096W/YOL143C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"water-soluble vitamin metabolic process",8.72370991633821e-08,16,58,"YBR092C/YBR240C/YBR256C/YCR020C/YEL029C/YGR144W/YGR267C/YMR020W/YMR095C/YMR096W/YOL143C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"pyrimidine-containing compound metabolic process",1.06019856921882e-07,14,44,"YBR092C/YBR240C/YCR020C/YER037W/YGL224C/YGR144W/YKL216W/YLR420W/YOL055C/YOR143C/YOR303W/YPL258C/YPL214C/YPR121W"
"glutamine family amino acid biosynthetic process",1.52899247889129e-07,11,26,"YDL066W/YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"DNA biosynthetic process",1.66011805674984e-07,21,105,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDL059C/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"thiamine-containing compound metabolic process",3.07482414194525e-07,9,17,"YBR092C/YBR240C/YCR020C/YGR144W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"viral process",3.07482414194525e-07,19,90,"YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"viral gene expression",3.07482414194525e-07,19,90,"YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"viral translation",3.07482414194525e-07,19,90,"YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"viral translational frameshifting",3.07482414194525e-07,19,90,"YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"retrotransposition",3.31368539171268e-07,20,100,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR170W-A/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"transposition",4.62312975354436e-07,20,102,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR170W-A/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"iron ion transport",6.03995696770955e-07,13,43,"YBR085W/YEL065W/YER145C/YHL047C/YHL040C/YKL220C/YLR034C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
