"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YDR261C",2834.01939193054,-1.15857821889529,0.0548486725055052,-21.1231770245488,4.87065969971438e-99,9.82534995015865e-98,"Down"
"YDR261W-B",185.469109510609,-1.04612610055966,0.143324733829238,-7.29899210422431,2.89931331818121e-13,1.06493684066295e-12,"Down"
"YDR261C-D",112.519847822208,-2.19418943622953,0.191336914461253,-11.4676744025465,1.91743137354586e-30,1.43955549257652e-29,"Down"
"YNCD0020W",21.8570934163535,-1.45784185007971,0.388816098298309,-3.74943798999088,0.000177231312914076,0.000337975992068704,"Down"
"YDR309C",3371.04332066947,-1.14735676620316,0.0563518227735279,-20.3605972217486,3.7399723219025e-92,7.17756390288522e-91,"Down"
"YNCD0023C",26.4536491896596,-2.71843666337887,0.426637548466614,-6.37177077626959,1.86858026238745e-10,5.84938808959562e-10,"Down"
"YDR344C",89.5492761107373,-1.29921081977667,0.184441650730106,-7.04402077640156,1.86770277224529e-12,6.57339760532708e-12,"Down"
"YDR345C",47662.6620286045,-5.28191399699473,0.0586187412864769,-90.1062336221342,0,0,"Down"
"YDR354W",11672.0766824293,-1.70945427906091,0.0601442015021312,-28.4225949695306,1.06332333430767e-177,4.17007672845879e-176,"Down"
"YDR365W-B",50.8564394699852,-1.78263583119364,0.270401685493102,-6.59254703957501,4.32344132082783e-11,1.40495154398903e-10,"Down"
"YDR502C",20409.0804223782,-3.12903893517595,0.0969552654926375,-32.2730170380851,1.67297949987637e-228,8.95185810357577e-227,"Down"
"YDR541C",4695.16996312854,-1.27112744784966,0.0521873672538802,-24.3569950878323,4.88785397174191e-131,1.29129330450119e-129,"Down"
"YEL073C",1828.97941746436,-2.06325184607333,0.084216178682393,-24.4994712222046,1.4964342966533e-132,4.03781459361921e-131,"Down"
"YEL072W",2552.54056990942,-2.70933647935378,0.0922969506922198,-29.3545611099172,2.0897765471889e-189,9.29214726686668e-188,"Down"
"YEL071W",105556.949399428,-1.62389052630356,0.0456230576730938,-35.5936364006846,1.75742321376451e-277,1.26095115587604e-275,"Down"
"YEL065W",10219.7648063127,-1.85267518732138,0.083199884856584,-22.2677614339843,7.58993192042081e-110,1.70543879521484e-108,"Down"
"YEL040W",4495.32249419527,-1.06283279780459,0.0682297760130558,-15.5772576125887,1.03918294469103e-54,1.30445350154656e-53,"Down"
"YEL029C",2913.90753464901,-1.1493245100138,0.0518757407048765,-22.1553368568242,9.26647254065743e-109,2.04575201474514e-107,"Down"
"YEL017C-A",2539.83551606282,-1.50512216808751,0.0637519655111286,-23.6090315964419,3.11295731669829e-123,7.7688586947166e-122,"Down"
"YER024W",11364.2109872792,-1.1592557241104,0.0648266232367233,-17.8824018008345,1.61717857208122e-71,2.49045500100509e-70,"Down"
"YER028C",918.204394439338,-1.63583940755429,0.0719581655134037,-22.7332005462199,2.10423831933869e-114,4.95752266727779e-113,"Down"
"YER037W",3797.33333408708,-1.08362383948269,0.0521932989274387,-20.7617426326929,9.60208624361027e-96,1.88870942498926e-94,"Down"
"YER042W",2384.88385197374,-1.01552943945608,0.0668103091228791,-15.2001907009336,3.52593113262988e-52,4.25673597923997e-51,"Down"
"YER052C",22974.2999789206,-1.90911779405364,0.0504339769105145,-37.8538023571095,1.48251238885374e-313,1.28227167441384e-311,"Down"
"YER055C",17075.929013423,-1.6600363585938,0.04676809090143,-35.495063548618,5.85760241926898e-276,4.15560692980498e-274,"Down"
"YER060W-A",1221.8365596522,-2.04892233576633,0.0843816807308564,-24.2816013857507,3.06724555485286e-130,8.00272249311609e-129,"Down"
"YER069W",21584.5311716596,-2.08396974646637,0.0474211843571724,-43.9459658107669,0,0,"Down"
"YER073W",14858.4546933521,-1.1004167222841,0.0613219323633347,-17.9449126906844,5.25931765384834e-72,8.11915199667442e-71,"Down"
"YER091C",106861.998563784,-3.54492729479748,0.0638970287389984,-55.4787501822272,0,0,"Down"
"YER092W",2932.97071850391,-1.54583583896952,0.0691926734727269,-22.3410335427901,1.47588876110751e-110,3.34005793463542e-109,"Down"
"YER124C",13933.5844564559,-1.04385368194178,0.0494437240172225,-21.1119551103832,6.17641464518917e-99,1.24197076655173e-97,"Down"
"YER138W-A",93.305441954948,-2.04153829715812,0.23537143738546,-8.67368751211201,4.18347357946603e-18,1.97565087365359e-17,"Down"
"YER145C",37120.13317459,-1.39710469857058,0.167022816765469,-8.36475354461522,6.02407122788e-17,2.6785905445658e-16,"Down"
"YER175C",7150.81147699439,-2.07735752469037,0.0467919231274585,-44.3956432188472,0,0,"Down"
"YFL028C",4390.56688364037,-1.21530288881852,0.0528141769022219,-23.010921689994,3.62392367293589e-117,8.63451097015744e-116,"Down"
"YFL019C",440.614806827606,-1.05999545005801,0.0976054506851074,-10.860002618888,1.78744081492472e-27,1.21877983859986e-26,"Down"
"YFR025C",3311.8200903807,-1.09363297739395,0.0524370228182188,-20.8561226136961,1.34113849771812e-96,2.66287687880259e-95,"Down"
"YNCF0011C",17.5632569857881,-3.60264103493417,0.599512313556343,-6.00928613719889,1.86341992777307e-09,5.52896307516878e-09,"Down"
"YFR030W",32027.3173856154,-3.79292196997521,0.0732936635838925,-51.7496572624426,0,0,"Down"
"YFR035C",60.0374791793979,-1.06571273825984,0.221068619633502,-4.82073276626336,1.43031856146274e-06,3.35726074240734e-06,"Down"
"YFR054C",138.152412393673,-1.00477874881905,0.158672167651542,-6.33241962778017,2.41346015099045e-10,7.51039299820292e-10,"Down"
"YGL261C",68.5288584341092,-1.37831821920587,0.219035430269097,-6.2926724572026,3.12046335750317e-10,9.65340795652866e-10,"Down"
"YGL258W",49533.5744645155,-4.95628145728294,0.26994314912403,-18.3604639471909,2.72271093971271e-75,4.37435034945193e-74,"Down"
"YGL248W",4711.42721985046,-1.09754176104529,0.0503978268886923,-21.7775612323385,3.78701883200215e-105,8.07812057610189e-104,"Down"
"YGL224C",2597.12209762677,-1.66890600456663,0.0580082792129996,-28.770134663685,5.07247528873803e-182,2.07971486838259e-180,"Down"
"YGL223C",2439.8606258868,-1.1747699560792,0.0529081377327612,-22.2039558831755,3.14516620930121e-109,6.97589558159185e-108,"Down"
"YGL209W",2799.99659504652,-1.98022455986943,0.0891836190954169,-22.2039044832976,3.14876503128552e-109,6.97589558159185e-108,"Down"
"YGL202W",13982.9249510904,-1.02336789665885,0.0476106291307787,-21.4945258095168,1.75175319253025e-102,3.62641628119214e-101,"Down"
"YGL186C",6664.49293102217,-1.47323890680296,0.053243274975406,-27.6699528247178,1.60594222085677e-168,5.8953018502847e-167,"Down"
"YGL184C",3870.9764441771,-2.97801160235852,0.0700413105702109,-42.5179308912746,0,0,"Down"
"YGL157W",2202.94564311574,-2.13346963759646,0.0664652416395659,-32.0990277770454,4.54875515546519e-226,2.39340333763393e-224,"Down"
"YGL125W",5960.51569606542,-2.030144623852,0.065897143968362,-30.8077786319039,2.06159058877877e-208,1.00129869058071e-206,"Down"
"YGL118C",240.49711282397,-1.42772215904264,0.126029981914585,-11.3284326265337,9.48874996934362e-30,6.95841664418532e-29,"Down"
"YGL117W",17722.7414068394,-1.62876845264082,0.0532909867081592,-30.5636760219987,3.72150003109565e-205,1.78011751487409e-203,"Down"
"YGL089C",651.105836228488,-1.85886408903648,0.0969670013665383,-19.1700688155748,6.58216715455907e-82,1.11122469021085e-80,"Down"
"YGL034C",64.7922757576156,-1.19494978503728,0.233326745461077,-5.12135795952554,3.03343188785124e-07,7.57638011862846e-07,"Down"
"YGL028C",12372.1231642938,-1.1755289193377,0.0603987723953018,-19.4627948999364,2.2705824815753e-84,3.906391768029e-83,"Down"
"YGL026C",19047.8519644931,-1.14290020862586,0.0457185154733436,-24.9986290410552,6.32689570127664e-138,1.8158190662664e-136,"Down"
"YGL009C",50945.0103220925,-1.479840124563,0.0470603114617974,-31.445608382008,4.8199448140537e-217,2.4346505244748e-215,"Down"
"YGR055W",15324.8022246287,-2.11623011656679,0.0604641364477457,-34.9997575570385,2.26900913321967e-268,1.52409826246266e-266,"Down"
